Journal,Twitter handle
ACS Catalysis,@ACSCatalysis
ACS Chem Neurosci,@ACSChemNeurosci
ACS Chem. Biol.,@ChemicalBiology
ACS Comb Sci,
ACS Infect Dis,@ACS_Infectious
ACS Med Chem Lett,@ACSMedChemLett
ACS Nano,@acsnano
Acs Omega,@ACS_Omega
Acta Crystallogr A Found Adv,@ActaCrystA
Acta Crystallogr D Struct Biol,@ActaCrystD 
Acta Crystallogr F Struct Biol Commun,@ActaCrystF
Acta Crystallogr. D Biol. Crystallogr.,@ActaCrystD 
Acta Neuropathol.,@ActaNeuropathol 
Adv. Synth. Catal.,
Amino Acids,
Anal. Biochem.,
Anal. Chem.,@an_chem
Angew. Chem. Int. Ed. Engl.,@angew_chem
Ann. N. Y. Acad. Sci.,
Antibiotics (Basel),
Antimicrob. Agents Chemother.,
Appl. Environ. Microbiol.,@AppEnvMicro
Appl. Microbiol. Biotechnol.,
Arch. Virol.,
Autophagy,
BMC Biol.,@BMCBiology
Beilstein J Org Chem,
BioRxiv,@biorxivpreprint
Biocatalysis,
Biochem. Biophys. Res. Commun.,
Biochem. J.,
Biochem. Pharmacol.,
Biochemistry,@BiochemistryACS
Biochim. Biophys. Acta,@BBAjournals
Biochimie,
Biol Open,@BiologyOpen
Biomicrofluidics,
Biomolecules,
Bioorg. Med. Chem.,
Bioorg. Med. Chem. Lett.,
Biophys. Chem.,
Biophys. J.,@BiophysJ
Biosci. Rep.,
Biotechnol Biofuels,
Biotechnol. Bioeng.,
Blood Adv,@BloodAdvances
Blood Cancer J,
Br. J. Pharmacol.,@BrJPharmacol
Cancer Discov,
Carbohydr. Res.,@CarbohydrateRes
Carbohydrate Polymers,
Cell,@CellCellPress
Cell Chem Biol,@CellChemBiol
Cell Death Dis,
Cell Discov,@CellDiscovery
Cell Host Microbe,@cellhostmicrobe
Cell Metab.,@Cell_Metabolism
Cell Rep,@CellReports
Cell Res.,
Cell. Mol. Immunol.,
Cell. Mol. Life Sci.,
Channels (Austin),
Chem,@Chem_CP
Chem Sci,@ChemicalScience
Chem. Biol. Interact.,
Chem. Commun. (Camb.),@ChemCommun
ChemCatChem,@ChemCatChem
ChemMedChem,@ChemMedChem
Chembiochem,@ChemBioChem
Chemistry,@ChemEurJ
Chempluschem,@ChemPlusChem
Cryst Growth Des,@CGD_ACS
DNA Repair (Amst.),
Drug Metab. Dispos.,@DMD_Journal
EBioMedicine,@EBioMedicine
EMBO J.,@embojournal
EMBO Rep.,@emboreports
Elife,@elife
Environ Microbiol Rep,
Enzyme Microb. Technol.,
Eur J Med Chem,
Eur. Biophys. J.,
Eur. J. Org. Chem.,@EurJOC
Extremophiles,
FASEB J.,
FEBS J.,@FEBSJournal
FEBS Lett.,@FEBS_Letters
FEBS Open Bio,@FEBSOpenBio
Faraday Discuss.,
Front Cell Infect Microbiol,
Front Microbiol,
Front Mol Biosci,
Front Mol Neurosci,
Front Plant Sci,
Genes Cells,
Genes Dev.,@GenesDev
Genome Biol Evol,
Glycobiology,
Hum. Mol. Genet.,
IUBMB Life,
IUCrJ,@IUCrJ
Immunity,@ImmunityCP
Immunobiology,@Immunobiology_J
Insect Sci.,@Insect_Science
Int J Mol Sci,
Int. J. Biol. Macromol.,
J Appl Crystallogr,@JApplCryst
J Mol Cell Biol,
J Pharm Sci,
J Phys Chem B,
J Phys Chem Lett,
J Synchrotron Radiat,@JSynchrotronRad
J. Agric. Food Chem.,
J. Am. Chem. Soc.,@J_A_C_S
J. Bacteriol.,@JBacteriology
J. Biochem.,
J. Biol. Chem.,@jbiolchem
J. Biol. Inorg. Chem.,
J. Biomol. NMR,
J. Biomol. Struct. Dyn.,
J. Cell Biol.,@JCellBiol
J. Cell. Biochem.,
J. Clin. Invest.,
J. Exp. Bot.,
J. Exp. Med.,@JExpMed
J. Immunol.,@J_Immunol
J. Infect. Dis.,
J. Inorg. Biochem.,
J. Med. Chem.,@JMedChem
J. Microbiol.,
J. Mol. Biol.,@JMolBiol
J. Mol. Cell. Cardiol.,
J. Mol. Evol.,
J. Org. Chem.,
J. Pept. Sci.,
J. Pharmacol. Exp. Ther.,
J. Struct. Biol.,
J. Thromb. Haemost.,
J. Virol.,@JVirology
MAbs,
MBio,
Malar. J.,@MalariaJournal
Matrix Biol.,
Medchemcomm,@MalariaJournal
Metallomics,@Metallomics
Mol Ther Methods Clin Dev,
Mol. Biol. Evol.,
Mol. Cancer Ther.,
Mol. Cell,@MolecularCell
Mol. Cell Proteomics,@molcellprot
Mol. Cells,
Mol. Genet. Metab.,
Mol. Immunol.,@Molecular2017
Mol. Microbiol.,
Mol. Pharmacol.,
Molecules,
NAT MICROBIOL,@NatureMicrobiol
Nanoscale,
Nat Chem,@NatureChemistry
Nat Commun,@NatureComms
Nat Microbiol,@NatureMicrobiol
Nat Plants,@NaturePlants
Nat. Biotechnol.,@NatureBiotech
Nat. Cell Biol.,@NatureCellBio
Nat. Chem. Biol.,
Nat. Immunol.,@NatImmunol
Nat. Med.,@NatureMedicine
Nat. Methods,@naturemethods
Nat. Struct. Mol. Biol.,@NatureSMB
Nature,@nature
Neuron,@NeuroCellPress
Nitric Oxide,
Nucleic Acids Res.,@NAR_Open
Nucleosides Nucleotides Nucleic Acids,
Oncogene,
Oncoimmunology,
Oncotarget,@OncotargetJrnl
Open Biol,
Org. Biomol. Chem.,@OrgBiomolChem
Organometallics,
Oxid Med Cell Longev,
PLoS Genet.,@OrgBiomolChem
PLoS ONE,@PLOSONE
PLoS Pathog.,@PLOSPathogens
Pharmaceuticals (Basel),
Philos. Trans. R. Soc. Lond.,
Photochem. Photobiol.,
Photosyn. Res.,
Plant Cell,@ThePlantCell
Plant Mol. Biol.,
Plant Physiol.,@PlantPhys
Proc. Natl. Acad. Sci. U.S.A.,@PNASNews
Protein Cell,
Protein Eng. Des. Sel.,
Protein Pept. Lett.,@Peptideletters
Protein Sci.,
Proteins,
Q. Rev. Biophys.,
RNA,@RNAJournal
Sci Adv,@ScienceAdvances
Sci Immunol,@SciImmunology
Sci Rep,@SciReports
Sci Signal,@scisignal
Sci Transl Med,@ScienceTM
Science,@sciencemagazine
Structure,@Structure_CP
Synlett,
Toxicon,
Toxins (Basel),
Virology,@VirologyJ
Viruses,@VirusesMDPI
bioRxiv,@biorxivpreprint